department,region,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,7,0,3,3,32,1,5,0,0,49,0
1,4,1,3,1,35,5,4,1,0,62,1
0,13,1,3,1,28,4,4,0,0,49,0
1,29,1,3,1,28,4,3,0,0,56,0
0,22,1,3,3,25,,1,0,0,54,0
3,7,0,0,1,35,5,10,0,0,83,1
0,32,1,3,5,26,4,1,0,0,46,0
5,30,1,3,1,26,1,2,0,0,83,0
0,13,1,0,3,31,4,2,0,0,47,0
1,2,0,0,1,50,2,17,0,0,61,0
3,2,0,3,1,38,5,9,1,0,80,0
4,2,0,0,1,37,1,7,1,0,72,0
0,22,1,0,1,32,4,6,1,0,50,0
0,7,1,1,2,27,5,4,1,0,47,0
1,22,1,1,1,40,5,3,1,0,59,0
1,15,1,3,1,34,3,7,1,0,58,0
1,13,1,0,1,44,3,15,0,0,60,0
7,29,1,0,1,28,5,3,1,0,49,1
1,4,1,3,1,43,1,5,1,0,60,0
0,2,1,0,5,44,3,2,0,0,52,0
1,22,1,0,1,45,3,4,1,0,55,0
1,15,0,0,1,40,3,4,0,0,61,0
9,7,1,3,1,35,3,6,0,0,80,0
0,2,1,0,1,48,1,2,0,0,54,0
1,22,1,3,1,30,5,3,0,0,74,1
4,2,0,3,1,48,3,6,0,0,70,0
8,22,0,3,1,30,3,2,0,0,59,0
0,32,1,3,3,28,1,3,0,0,49,0
0,25,1,3,1,35,3,4,1,0,51,0
5,2,1,3,1,60,4,10,0,0,81,0
0,2,1,3,1,33,4,8,1,0,50,0
4,26,0,3,1,25,5,2,1,0,72,0
0,13,1,3,1,50,4,6,1,0,53,0
0,30,1,0,1,48,2,16,0,0,54,0
0,21,1,3,2,30,3,1,0,0,48,0
0,27,1,3,1,32,4,4,0,0,53,0
0,13,1,3,1,54,2,13,0,0,49,0
1,2,1,0,1,49,3,17,0,0,56,0
6,15,1,0,1,37,5,9,1,0,62,0
1,4,0,3,1,38,3,9,0,0,57,0
4,2,0,3,3,55,3,23,0,0,67,0
1,4,1,3,1,26,5,3,1,0,58,0
5,23,1,0,1,33,3,6,0,0,90,0
0,15,0,0,1,32,4,7,1,0,51,0
7,17,0,0,1,26,3,2,0,0,47,0
7,10,1,3,1,30,5,4,1,0,54,0
1,23,1,3,1,34,2,3,0,0,62,0
0,11,0,0,1,27,,1,1,0,52,0
0,26,1,0,1,37,1,2,1,0,49,0
3,5,1,3,1,29,4,5,0,0,80,0
0,11,1,0,1,27,5,3,0,0,51,0
4,7,1,3,1,29,,1,0,0,65,0
5,7,1,0,1,35,4,9,0,0,85,0
7,2,0,3,1,21,,1,0,0,53,0
4,22,0,3,1,33,2,4,0,0,73,0
1,1,0,3,2,29,5,5,1,0,56,0
4,13,1,0,2,52,5,6,1,0,67,0
0,2,1,0,2,36,3,3,0,0,47,0
3,27,0,3,1,29,1,3,0,0,86,0
0,7,1,0,1,47,3,5,1,0,51,0
1,6,0,0,1,25,4,2,0,0,61,0
8,22,1,0,1,25,3,2,0,0,59,0
0,7,0,3,1,39,3,10,0,0,49,0
1,22,1,3,1,46,4,18,1,0,64,0
0,16,1,0,4,40,3,4,0,0,53,0
1,22,1,3,1,33,3,3,0,0,59,0
1,2,1,3,1,36,3,9,0,0,61,0
0,11,1,0,1,31,5,7,0,0,52,0
1,2,1,3,1,36,5,4,0,1,75,1
5,17,1,3,1,37,3,3,0,0,84,0
1,15,1,0,1,38,1,8,0,0,63,0
1,2,0,0,2,32,3,7,1,0,59,1
0,28,0,0,1,30,5,5,1,0,49,0
3,2,0,0,3,28,4,3,1,0,79,0
7,4,0,3,1,29,5,5,1,0,48,0
3,25,0,3,1,33,3,6,0,0,82,0
0,15,1,0,1,35,5,9,1,0,49,1
7,16,0,3,1,33,5,8,0,0,47,0
3,27,0,3,1,27,5,2,1,0,78,1
3,9,1,0,1,30,5,8,1,0,81,1
7,2,1,3,1,41,4,13,0,0,50,0
0,22,1,0,1,35,3,4,0,0,50,0
5,20,1,0,1,36,3,2,0,0,80,0
3,13,0,0,3,36,3,10,0,0,80,0
0,22,1,0,2,28,3,4,0,0,50,0
0,2,1,3,1,30,5,2,1,1,53,1
1,22,0,3,1,42,3,8,0,0,60,0
3,13,0,3,1,30,3,5,1,0,81,0
1,4,1,3,1,30,5,9,0,0,57,0
5,15,0,0,2,32,3,4,0,0,86,0
7,13,0,3,1,28,4,5,1,0,49,0
1,2,0,3,1,33,5,4,0,0,60,0
1,2,1,3,1,34,3,9,1,0,61,0
1,31,0,3,1,32,5,6,0,0,57,0
3,23,0,3,1,43,3,4,0,0,80,0
6,2,1,0,1,31,3,7,0,0,61,0
0,23,0,0,1,36,3,5,0,0,49,0
0,16,1,0,1,48,4,17,0,0,53,0
5,7,0,3,1,29,4,3,1,0,87,0
1,2,0,3,2,33,1,3,1,0,60,0
7,2,1,0,1,34,4,2,0,0,51,0
3,31,0,3,2,32,3,7,0,0,76,0
5,22,1,0,1,31,4,9,1,0,86,0
0,31,1,0,1,36,4,4,0,0,52,0
1,11,1,3,1,29,4,6,1,0,59,0
0,32,1,3,1,28,,1,0,0,51,0
3,2,0,3,1,45,3,15,1,0,77,0
4,2,0,0,1,33,3,3,1,0,68,1
5,2,1,3,1,29,1,7,1,0,85,0
8,22,1,3,1,32,,1,0,0,56,0
1,6,1,0,1,28,3,4,1,0,56,0
7,32,0,3,1,30,4,5,1,0,51,0
1,26,1,3,1,27,5,3,0,0,55,0
4,7,0,3,4,32,2,6,0,0,69,0
0,2,1,0,1,42,5,7,1,0,50,0
0,2,0,3,1,21,3,2,0,0,51,0
1,20,1,0,1,29,3,5,0,0,57,0
1,31,1,3,1,32,4,9,1,0,55,0
1,11,1,3,1,28,5,2,0,0,57,0
0,26,1,0,1,40,2,9,0,0,50,0
5,22,1,0,2,28,5,2,1,0,86,0
5,32,1,3,1,31,2,7,0,0,89,0
3,2,1,3,1,41,3,3,1,0,79,0
1,7,1,3,2,41,3,9,0,0,68,1
3,15,1,3,1,32,1,7,0,0,81,0
7,34,1,0,1,26,,1,1,1,45,0
5,26,1,0,2,31,2,8,0,0,85,0
1,7,0,0,1,37,3,6,0,0,62,0
7,2,0,3,1,38,3,12,0,0,51,0
0,25,1,3,1,27,4,4,1,0,49,0
7,13,0,3,1,32,5,6,0,0,55,0
7,2,1,0,1,47,2,4,0,0,49,0
1,2,1,3,2,56,5,4,0,0,61,0
1,11,1,0,1,31,3,7,0,0,59,0
4,7,0,0,1,29,1,5,0,0,75,0
7,2,1,0,1,32,5,7,1,0,49,1
4,22,0,0,1,31,3,6,0,0,68,0
1,16,1,3,1,34,3,9,0,0,58,0
4,2,1,0,1,46,2,12,0,0,70,0
0,2,0,0,2,42,5,10,0,0,48,0
1,29,1,0,1,31,4,3,1,0,64,0
1,6,0,3,1,49,3,10,0,0,62,0
1,2,0,3,1,52,4,11,0,0,61,0
5,9,1,0,1,30,3,4,0,0,85,0
0,2,1,3,1,56,3,17,1,0,53,1
0,26,1,3,1,33,5,6,1,0,52,0
0,29,1,3,1,33,4,7,1,0,51,0
0,32,1,3,1,27,,1,0,0,55,0
4,2,1,0,1,36,4,3,0,0,68,0
0,2,1,0,1,37,5,11,1,0,51,0
1,4,1,0,1,41,3,2,1,0,60,0
4,13,1,3,1,37,5,9,1,0,71,0
1,34,1,3,1,36,3,4,0,0,62,0
1,22,0,0,1,36,5,7,0,0,61,0
1,16,1,0,1,46,5,5,1,0,58,0
1,2,1,3,1,43,4,4,1,0,61,0
0,7,1,3,3,26,3,4,1,0,99,1
0,25,1,0,1,36,5,7,0,0,52,0
1,26,0,3,1,32,2,3,0,0,55,0
0,13,0,3,1,28,3,2,0,0,52,0
5,27,1,0,2,30,1,5,0,0,82,0
0,13,1,0,1,33,5,5,1,0,52,0
3,13,1,0,1,39,2,9,0,0,78,0
1,2,1,0,1,36,5,7,0,0,59,0
0,15,1,3,1,26,3,3,0,0,50,0
5,31,1,3,1,35,1,7,0,0,86,0
1,25,0,3,1,29,3,2,1,0,61,0
4,13,0,0,1,38,5,2,1,0,68,1
0,7,1,0,1,33,5,8,1,0,55,0
4,16,0,3,1,30,4,3,0,0,68,0
7,10,1,3,1,36,1,8,0,0,49,0
7,14,1,3,1,30,1,5,0,0,53,0
4,2,0,0,3,58,3,3,1,0,67,0
9,2,1,3,2,29,5,5,0,0,87,0
0,13,0,0,1,35,4,10,0,0,49,0
5,2,1,0,2,56,4,14,1,0,84,1
0,15,1,3,2,41,3,6,0,0,52,0
1,19,1,0,2,39,5,3,1,0,65,0
6,2,1,3,1,31,5,3,1,0,58,0
1,26,0,3,1,27,5,3,0,0,58,0
3,22,1,0,2,30,5,8,1,0,77,0
5,22,1,0,1,33,2,7,0,0,87,0
4,15,0,3,1,41,3,12,0,0,69,0
1,2,0,3,1,41,5,7,1,0,61,0
0,9,1,3,2,31,3,7,0,0,49,0
3,7,0,0,1,34,1,6,0,0,78,0
8,2,1,0,1,46,1,2,0,0,62,0
0,7,1,3,2,40,3,11,1,0,51,1
0,7,1,3,1,34,4,7,0,0,47,0
3,4,0,3,1,27,3,5,0,0,85,0
4,16,0,3,1,44,3,3,0,0,76,0
0,2,1,0,1,43,5,16,1,0,54,0
0,16,1,3,1,29,5,2,1,0,53,0
0,2,0,0,1,36,1,4,0,0,51,0
3,2,1,3,1,58,5,14,1,0,80,1
0,2,1,3,1,45,3,4,0,0,49,0
1,20,1,0,1,30,5,4,0,0,59,0
1,4,1,3,1,33,5,10,0,0,58,0
1,22,1,3,2,34,4,7,0,0,58,0
5,4,1,0,1,41,5,4,0,0,79,0
9,7,1,3,1,31,2,5,1,0,82,0
1,22,1,1,1,31,1,5,1,0,60,0
7,2,0,0,1,24,,1,0,0,46,0
0,2,1,0,1,34,2,5,1,0,49,0
5,2,1,3,1,36,5,7,1,0,90,0
8,2,1,0,1,32,1,3,0,0,61,0
3,30,0,0,1,26,1,4,0,0,79,0
7,2,0,1,1,25,,1,0,0,48,0
3,31,1,3,2,34,4,2,0,0,83,0
1,31,1,3,1,41,1,5,0,0,66,0
1,21,1,3,2,29,,1,0,0,58,0
8,27,1,3,1,27,,1,0,0,69,1
1,7,1,0,1,31,1,7,0,0,59,0
6,2,1,1,1,29,4,5,1,0,58,0
9,11,0,3,1,34,5,2,0,0,85,0
6,31,1,0,2,34,4,9,1,0,62,0
4,26,1,3,1,38,4,3,1,0,69,1
1,8,1,0,1,26,5,3,0,0,60,0
7,2,1,3,2,47,5,7,0,0,52,0
5,4,1,3,1,32,3,4,0,0,84,0
7,2,0,3,1,55,4,7,0,0,51,0
0,7,1,0,1,39,3,13,0,0,50,0
3,7,1,3,1,45,3,7,1,0,81,0
3,2,0,0,1,37,3,4,0,0,81,0
1,32,1,3,1,29,,1,0,0,62,0
3,2,1,3,1,38,3,10,1,0,79,0
4,23,0,3,1,35,3,8,0,0,69,0
1,21,0,3,1,47,3,7,0,0,56,0
0,1,0,0,1,33,3,7,0,0,54,0
3,30,0,3,1,31,3,5,0,0,81,0
3,2,0,3,1,58,3,3,1,0,83,0
3,26,1,0,1,45,3,15,0,0,79,0
0,19,1,3,1,30,1,7,0,0,50,0
4,22,1,0,1,29,4,4,1,0,67,0
1,32,0,0,1,32,4,3,1,0,61,0
4,11,1,3,1,39,3,9,0,0,83,1
4,10,0,3,1,32,2,5,1,0,64,1
4,2,1,3,1,52,5,11,0,0,66,0
4,2,0,0,1,32,3,4,0,0,66,0
3,2,0,3,2,37,1,7,1,0,80,0
0,2,1,3,1,51,3,19,0,0,50,0
3,7,0,0,1,27,1,4,1,1,79,0
5,23,1,3,1,32,3,6,1,0,84,0
1,26,1,3,1,33,3,4,0,0,55,0
0,16,1,0,1,42,3,10,0,0,49,0
0,2,1,0,1,37,3,10,0,0,48,0
0,15,1,0,1,23,3,2,1,1,52,1
3,4,1,0,2,34,1,7,0,0,79,0
4,14,0,3,1,29,3,2,0,0,71,0
0,4,1,3,1,43,3,9,0,0,53,0
1,15,0,0,1,45,3,18,0,0,59,0
4,2,0,0,1,37,2,3,1,0,70,0
0,8,1,3,1,35,3,8,0,0,49,0
0,6,1,3,1,24,2,2,0,0,52,0
0,13,1,0,1,49,3,15,0,0,45,0
1,22,1,0,1,50,5,8,0,0,59,0
0,13,0,0,1,37,3,8,0,0,52,0
1,22,0,3,1,33,1,8,0,0,56,0
0,23,1,0,1,49,5,20,0,0,47,0
9,7,1,3,3,36,3,9,0,0,85,0
4,7,0,0,1,25,,1,0,0,68,0
7,23,1,3,1,35,4,3,0,0,50,0
5,9,1,0,1,29,4,6,0,0,84,0
0,4,1,3,1,40,5,2,1,0,50,1
0,22,1,3,2,36,1,9,0,0,47,0
0,27,1,3,3,33,1,7,0,0,49,0
1,4,1,3,1,26,4,2,0,0,57,0
4,31,1,0,1,43,4,16,1,0,64,0
1,10,1,3,1,30,3,5,0,0,57,0
0,2,1,3,1,29,,1,0,0,54,0
7,2,0,3,1,32,5,6,0,0,50,0
0,15,1,3,1,40,1,3,0,0,53,0
6,2,1,3,1,39,2,9,0,0,63,0
7,2,0,3,1,29,5,3,1,0,46,0
5,22,0,0,1,29,3,5,0,0,82,0
5,4,1,0,1,46,4,6,1,0,89,0
8,27,1,0,1,28,,1,1,0,55,0
3,20,0,0,3,36,5,12,1,0,79,0
3,9,1,0,1,28,1,4,0,0,77,0
1,2,0,0,1,43,3,12,1,0,65,0
5,22,1,0,1,30,5,7,1,0,84,0
7,2,1,3,1,43,1,10,0,0,49,0
0,9,1,3,1,32,3,6,0,0,53,0
1,20,1,0,1,31,1,3,0,0,63,0
5,16,1,3,1,31,1,5,0,0,82,0
5,2,1,3,1,37,5,10,1,0,81,0
1,29,1,0,1,30,3,4,1,0,54,1
4,20,1,3,1,31,2,3,1,0,69,0
1,19,0,3,1,33,3,6,0,0,62,0
1,15,1,0,1,47,5,6,1,0,59,0
0,2,1,3,1,40,3,10,0,0,48,0
3,9,1,3,1,28,4,5,0,0,76,0
0,22,0,0,1,34,3,7,0,0,52,0
1,15,0,0,1,40,2,11,0,0,56,0
0,24,1,3,1,35,3,9,0,0,49,0
3,27,1,0,2,40,3,3,0,0,81,0
4,34,1,3,1,39,5,8,0,0,71,0
0,8,1,3,1,39,5,7,0,0,52,0
1,22,1,1,1,26,4,2,0,0,56,0
5,22,1,3,1,34,4,9,0,0,86,0
4,13,1,3,1,42,4,15,0,0,71,0
4,2,0,0,1,31,3,5,0,0,81,1
3,14,0,3,1,31,,1,1,0,82,0
9,2,1,3,1,32,4,7,0,0,91,0
4,2,1,3,1,40,1,2,0,0,68,0
3,22,1,3,1,44,3,4,1,0,78,0
1,4,1,0,1,31,4,3,0,0,60,0
3,7,1,3,2,34,3,7,0,0,79,0
1,2,1,0,2,34,5,6,1,0,62,0
0,31,1,3,1,37,3,2,1,0,47,0
0,14,1,3,1,33,2,7,0,0,46,0
1,19,1,0,1,39,4,11,0,0,60,0
0,16,1,3,1,33,4,5,1,0,50,0
5,26,1,0,1,35,5,6,1,0,83,0
0,7,0,3,2,32,1,9,0,0,54,0
1,26,1,3,1,32,5,7,1,0,58,0
3,5,0,3,1,32,5,7,1,0,79,0
0,25,0,0,2,29,1,4,0,0,49,0
1,21,0,0,1,39,4,5,0,0,63,0
1,28,0,0,1,31,3,7,0,0,59,0
1,8,0,3,1,26,3,2,0,0,62,0
4,16,0,3,1,39,4,5,1,0,69,0
0,2,1,3,1,41,4,2,1,1,98,1
0,22,0,3,2,30,3,2,0,0,53,0
0,2,0,3,1,47,5,21,1,0,48,0
6,22,1,3,1,24,1,3,0,0,62,0
6,2,1,0,2,58,5,11,0,0,58,0
3,11,0,3,2,33,4,7,1,0,82,0
6,2,0,3,1,36,3,7,1,0,55,0
0,2,1,0,5,54,2,7,0,0,48,0
0,7,0,3,1,29,1,6,0,0,48,0
1,19,1,0,1,26,4,4,1,0,60,0
1,13,1,3,1,32,2,7,1,0,59,0
0,13,0,0,2,39,3,6,0,0,48,0
0,7,1,3,2,29,,1,0,0,51,0
1,16,0,3,1,35,3,7,0,0,58,0
0,28,1,0,1,36,3,3,1,0,45,0
3,23,1,0,1,27,4,4,1,0,96,1
0,7,1,3,1,57,1,30,0,0,46,0
5,32,0,0,1,27,,1,0,0,85,0
1,22,1,3,1,34,5,7,1,0,59,0
0,2,1,0,1,38,4,10,1,0,50,0
3,10,0,3,1,29,3,3,0,0,82,1
1,13,1,0,1,34,4,10,0,0,60,0
0,4,1,0,1,31,3,2,0,0,47,0
0,2,0,3,1,41,4,6,0,0,45,0
1,32,0,3,1,27,5,3,0,0,53,0
6,29,1,3,1,30,1,6,0,0,61,0
3,22,1,3,1,27,,1,1,0,77,1
0,15,1,0,1,38,3,3,0,0,51,0
1,7,0,3,1,38,4,6,1,0,63,0
5,23,1,0,1,35,5,3,1,0,87,0
4,27,1,3,1,41,5,3,0,0,71,0
0,4,1,3,1,54,5,13,0,0,54,0
1,22,1,3,2,46,5,8,1,0,61,1
5,22,1,0,1,30,1,4,0,0,82,0
8,22,1,0,1,30,1,5,0,0,64,0
6,14,1,0,1,34,5,7,1,0,58,0
4,22,1,3,2,28,3,2,0,0,73,0
0,2,0,0,1,44,4,2,0,0,49,0
0,8,0,0,1,27,,1,0,0,52,0
5,14,1,3,1,33,5,6,1,1,79,0
0,7,0,0,1,39,4,10,0,0,49,0
0,2,1,3,1,51,5,20,1,0,50,0
4,2,1,3,4,45,3,15,0,0,73,0
0,2,1,0,1,37,1,3,0,0,46,0
3,7,0,0,1,32,1,3,1,0,80,0
1,31,1,0,1,32,3,4,0,0,58,0
0,8,1,3,1,31,,1,0,0,47,0
3,19,1,3,1,32,3,4,0,0,74,0
6,2,1,0,2,41,1,13,0,0,59,0
8,5,1,3,1,29,4,5,1,0,59,0
5,7,1,3,1,28,3,2,0,0,86,0
4,7,0,0,2,30,3,7,0,0,69,0
4,13,1,0,1,29,,1,1,0,73,0
1,22,0,3,1,25,5,3,1,0,59,0
3,7,1,3,1,32,3,3,0,0,81,0
0,1,1,3,1,31,3,7,0,0,49,0
6,29,1,0,1,26,,1,1,0,58,0
1,7,1,3,2,51,5,19,1,0,61,0
1,4,1,0,2,40,4,6,1,0,60,0
0,2,1,3,2,44,2,11,0,0,49,0
3,17,0,0,1,33,4,7,0,0,80,0
1,2,0,3,1,35,5,6,1,0,56,1
0,7,1,3,1,34,3,9,1,0,52,0
0,2,1,3,1,45,1,3,1,0,47,0
0,2,1,3,1,29,2,3,0,0,47,0
4,15,0,3,1,31,5,7,0,0,70,0
0,22,0,3,1,32,5,5,0,0,50,0
3,5,1,0,1,39,3,5,0,0,77,0
8,17,1,3,1,35,3,5,0,0,57,0
1,2,1,3,1,32,5,8,1,0,61,0
3,15,1,3,1,33,1,9,0,0,78,0
9,7,1,0,1,34,3,9,0,0,87,0
4,30,0,3,2,29,,1,1,0,68,0
1,22,1,0,1,38,3,10,0,0,59,0
0,28,1,3,1,30,4,2,1,0,49,0
4,14,1,0,2,31,3,4,0,0,65,0
0,7,0,3,1,33,4,7,0,0,51,0
8,4,1,3,1,30,5,4,1,0,59,0
3,16,1,0,1,32,3,6,0,0,82,0
0,28,1,3,1,29,1,3,0,0,49,0
4,7,1,0,1,26,4,2,1,0,67,0
0,19,1,3,1,41,3,15,0,0,49,0
0,26,1,3,1,32,4,2,0,0,48,0
0,2,0,3,1,25,,1,0,0,45,0
1,15,0,0,1,30,4,9,1,0,62,0
5,26,1,3,1,43,4,3,1,0,86,0
1,2,1,3,1,40,3,6,0,0,74,1
7,31,1,0,1,26,1,2,0,0,51,0
4,22,1,0,2,30,4,3,1,0,69,0
7,27,1,3,1,27,3,2,0,0,48,0
1,7,0,0,1,38,5,4,0,1,72,1
1,19,1,0,2,38,2,3,0,0,56,0
0,13,0,3,2,38,5,2,0,0,45,0
0,31,1,3,1,26,1,3,0,0,48,0
0,28,0,0,1,29,3,2,1,0,53,0
0,7,1,0,1,41,1,4,1,0,48,0
4,13,0,3,1,36,2,8,0,0,68,0
3,7,1,3,1,25,,1,0,0,80,0
1,31,1,3,1,50,3,17,0,0,63,0
3,4,1,3,1,27,1,4,0,0,81,0
0,22,1,3,1,22,1,2,0,0,52,0
3,7,1,3,2,31,3,4,0,0,76,0
7,2,0,3,1,35,3,2,0,0,50,0
1,22,0,3,1,31,5,3,0,0,55,0
0,31,1,0,1,26,,1,0,0,46,0
8,31,1,3,1,33,3,2,0,0,57,0
4,28,0,3,1,32,5,2,1,0,68,0
5,20,1,0,1,38,5,12,0,0,88,0
7,7,1,3,1,29,4,5,0,0,44,0
0,27,1,3,1,26,,1,0,0,48,0
5,5,1,0,1,30,5,4,1,0,87,0
1,32,1,3,2,31,5,6,1,0,63,0
5,30,1,0,1,33,5,3,0,0,85,0
0,11,1,3,1,32,5,9,1,0,48,0
5,2,1,0,1,35,5,3,1,0,84,0
0,15,1,0,1,31,3,2,0,0,46,0
5,26,1,0,1,41,,1,1,0,89,0
1,22,1,3,2,32,3,3,0,0,60,0
3,2,0,0,1,45,3,16,0,0,81,0
1,26,1,3,1,36,4,9,1,0,60,0
5,31,0,3,1,26,,1,0,0,84,0
3,12,0,3,2,30,3,7,0,0,76,0
3,19,0,3,2,32,5,4,1,0,80,0
3,5,1,3,2,37,4,7,0,0,76,0
4,8,0,0,1,29,1,6,1,0,69,0
3,11,0,0,1,30,5,5,1,0,80,1
0,13,1,0,1,33,3,2,1,0,48,0
4,30,1,0,1,33,1,8,0,0,68,0
6,2,1,3,3,42,3,7,0,0,60,0
1,31,1,3,1,36,3,5,0,0,61,0
4,4,1,0,2,33,3,6,0,0,68,0
1,7,0,3,1,43,2,10,0,0,60,0
3,4,1,3,2,35,3,9,0,0,80,0
1,2,1,3,1,41,5,9,0,0,59,0
3,22,1,1,1,31,5,4,1,0,80,0
1,16,1,3,1,35,2,5,0,0,58,0
1,22,1,3,1,29,5,4,1,0,58,0
0,1,1,0,1,27,5,2,1,0,51,0
3,13,1,0,1,42,3,3,1,0,80,0
1,15,1,3,1,53,5,8,0,0,63,0
1,15,1,0,3,28,3,3,0,0,60,0
0,13,0,3,1,32,5,6,0,0,49,0
4,17,0,0,1,37,2,10,0,0,69,0
6,2,1,3,1,25,,1,1,1,58,0
1,16,1,0,1,42,5,3,0,0,54,0
7,29,0,3,1,33,3,8,0,0,46,0
0,2,1,3,1,31,5,3,0,1,53,0
4,31,1,3,1,43,3,7,1,0,71,1
5,22,1,1,2,30,5,2,1,0,87,0
3,25,0,0,1,32,3,2,0,0,79,0
1,15,1,0,2,34,3,9,1,0,61,1
1,22,0,1,1,34,4,7,1,0,58,0
0,2,0,0,1,46,5,5,1,0,47,0
0,16,1,3,1,39,4,8,0,0,50,0
3,30,1,0,5,32,2,6,0,0,80,0
0,4,0,3,2,40,1,7,0,0,48,0
0,2,1,0,1,51,4,17,0,0,48,0
6,2,1,3,1,55,3,14,0,0,59,0
0,14,1,3,1,23,1,2,0,0,53,0
4,6,0,3,1,32,,1,0,0,64,0
1,2,0,0,1,40,5,7,1,0,58,0
3,2,1,1,2,29,5,3,1,0,82,0
5,26,1,0,1,40,3,8,0,0,84,0
5,2,1,0,2,38,3,9,0,0,84,0
5,23,1,0,1,36,3,8,1,0,83,0
4,11,0,0,1,29,3,8,1,0,70,0
4,13,0,3,1,36,3,10,0,0,72,0
0,28,1,3,1,33,5,7,0,0,52,0
9,26,1,3,1,27,3,4,1,0,85,0
3,28,1,3,1,31,3,4,0,0,82,0
5,22,1,0,1,35,3,9,1,0,83,0
0,14,1,0,1,32,4,5,0,0,52,0
0,12,0,0,1,27,4,4,1,0,61,1
3,2,0,3,1,60,3,31,0,0,80,0
1,7,1,3,1,26,5,5,1,0,59,0
0,4,1,0,1,28,3,4,0,0,49,0
1,32,1,0,1,28,1,2,0,0,60,0
1,7,1,0,1,24,3,2,1,0,57,0
0,7,1,3,1,43,4,3,1,0,49,0
7,23,1,0,1,28,3,6,0,0,46,0
5,27,1,0,2,28,2,1,1,0,83,0
0,2,0,3,1,46,3,3,0,0,46,0
4,16,0,0,1,38,3,3,0,0,69,0
1,2,0,0,1,52,1,22,0,0,62,0
1,2,1,0,1,60,3,5,1,0,58,0
1,11,0,0,2,35,3,3,0,0,56,0
4,2,0,3,1,59,2,13,0,0,65,0
7,27,0,3,1,32,5,3,1,0,47,0
1,20,0,3,1,28,5,4,1,0,60,1
1,2,0,3,1,60,4,17,1,0,64,0
0,11,1,3,1,37,1,7,0,0,51,0
5,26,1,3,1,31,5,5,0,0,87,0
5,22,1,3,1,26,5,2,1,0,82,1
9,22,1,3,1,31,1,2,0,0,85,0
0,22,1,3,3,24,3,1,0,0,46,0
0,22,1,0,1,29,2,8,0,0,53,0
1,13,0,3,1,38,4,8,1,0,58,0
1,13,0,0,1,32,4,7,1,0,52,0
5,30,1,3,1,30,5,3,1,0,86,0
3,2,1,3,1,40,5,12,1,0,80,1
0,15,1,3,4,42,2,4,1,0,50,0
4,2,1,3,1,45,3,4,1,0,72,0
1,23,1,3,1,33,3,10,0,0,60,0
7,2,0,3,1,28,3,4,0,0,60,1
1,2,1,3,1,34,2,7,0,0,63,0
1,22,0,0,1,37,5,10,1,0,60,0
1,2,0,3,1,60,4,3,0,0,56,0
4,22,1,0,1,38,3,4,0,1,78,1
0,15,1,0,1,33,4,6,0,0,57,0
7,2,1,0,1,40,4,8,0,0,48,0
3,13,1,0,2,32,3,5,0,0,78,0
0,28,1,3,1,41,3,7,0,0,57,0
1,13,0,0,1,38,3,5,0,0,60,0
0,4,1,3,1,33,5,3,1,0,54,0
3,31,1,3,1,27,3,4,0,0,77,0
0,31,1,3,1,27,2,5,0,0,50,0
3,23,0,3,1,30,,1,0,0,80,0
1,2,1,3,1,57,3,13,0,0,59,0
4,31,0,0,1,27,,1,0,0,67,0
0,11,1,0,1,35,5,3,0,0,49,0
1,27,1,3,1,32,5,6,1,0,60,0
1,7,0,3,1,32,4,2,1,0,60,1
0,13,0,0,1,27,2,2,0,0,51,0
6,26,1,3,1,37,4,3,0,0,58,0
0,16,1,3,1,32,3,7,0,0,56,0
1,4,1,3,1,33,5,6,0,0,63,0
6,19,1,0,1,35,4,7,0,0,59,0
4,30,0,3,1,36,5,5,1,0,69,0
1,27,0,3,1,26,1,3,0,0,59,0
1,2,1,3,1,60,2,16,0,0,58,0
0,9,1,3,3,26,3,3,0,0,48,0
4,2,0,0,6,29,3,2,0,0,67,0
7,29,1,3,1,29,,1,0,0,50,0
0,16,1,0,1,38,5,8,0,0,57,0
0,13,1,0,1,44,3,16,0,0,42,0
5,31,1,3,1,37,3,3,0,0,81,0
0,1,1,0,1,35,4,3,1,0,52,0
4,7,1,3,6,40,3,12,0,0,74,0
7,2,0,3,1,54,3,19,0,0,49,0
0,28,1,0,1,30,1,2,1,0,46,0
1,22,0,3,1,33,4,8,1,0,61,0
4,2,1,3,1,29,5,3,1,0,72,0
6,13,1,0,1,27,5,2,0,0,74,1
0,7,1,0,1,47,1,17,0,0,52,0
5,22,0,0,1,28,5,5,1,0,87,0
0,17,1,0,1,39,3,4,0,0,51,0
4,13,1,0,1,31,3,3,0,0,67,0
1,14,1,3,1,36,4,2,0,0,56,0
1,22,1,0,1,32,3,5,1,0,63,0
0,2,0,3,1,47,2,7,0,0,51,0
1,22,1,3,2,28,4,2,1,1,62,0
0,22,1,3,2,46,1,15,0,0,51,0
0,2,0,0,1,36,1,2,0,0,48,0
6,7,0,0,1,29,5,6,1,0,90,1
4,22,0,0,1,32,5,6,0,0,64,0
5,2,1,3,1,40,2,11,0,0,82,0
0,32,1,0,1,27,1,5,1,1,49,0
6,7,1,0,3,34,5,5,0,0,61,0
4,15,1,3,1,28,3,7,0,0,68,0
4,22,1,3,1,34,4,5,0,0,70,0
